"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"35",1,"Cereals","agroforestry","woodlot",NA,"exotic trees",NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Off-farm income","hh engaged in off-farm activities","1= yes, 0= otherwise",NA,"none","Multinomial Logit (MNL) model","logit","coefficient value",1.083,1.083,"p value","2.3E-2",0.023,"nd",NA,"2.3E-2",0.023,"nd",16,16,210,210,"Nepal","Eucalyptus camaldulensis, Gmelia arborea, Tectona grandis, Melia azedarach and Anthocephalus chinensis","1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"35",2,"Cereals","agroforestry","alley cropping",NA,"exotic trees","n fixing","hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Off-farm income","hh engaged in off-farm activities","1= yes, 0= otherwise",NA,"none","Multinomial Logit (MNL) model","logit","coefficient value",0.148,0.148,"p value","0.26200000000000001",0.262,"nd",NA,"0.26200000000000001",0.262,"nd",16,16,222,222,"Nepal",NA,"1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"44",1,"nd","agroforestry","alley cropping",NA,NA,"n fixing","hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","NFINC (non-farm income)","hh off-farm income","1= yes, 0= otherwise","categorical (binary)","none","Logit model","logit","coefficient value",0.18166,0.18166,"standard error","0.4698",0.4698,"0.38700000000000001",0.387,"nd",NA,"nd",14,14,156,156,"Cameroon","nd","1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"49",1,"Cocoa","agroforestry","parklands","scattered trees",NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Farmer engagement in off-farm economic activities","hh engaged in off-farm activities","1= yes, 0= otherwise","categorical (binary)","none","binomial logistic regression","logit","coefficient value",-1.041,-1.041,"standard error","0.70299999999999996",0.703,"nd",NA,"nd",NA,"nd",15,15,80,80,"Ghana","nd","1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"49",2,"Cocoa","agroforestry","parklands","scattered trees",NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Farmer engagement in off-farm economic activities","hh engaged in off-farm activities","1= yes, 0= otherwise","categorical (binary)","none","probit estimation","probit","coefficient value",-0.616,-0.616,"standard error","0.40899999999999997",0.409,"nd",NA,"nd",NA,"nd",15,15,80,80,"Ghana","nd","1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"78",1,"Mixed","agroforestry and fallow","agroforestry and fallow period","natural fallow",NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Off-farm income","hh off-farm income","1= yes, 0= no","categorical (binary)","none","Logistic model regression","logit","coefficient value",0.125,0.125,"standard error","0.61",0.61,"nd",NA,"0.83699999999999997",0.837,"nd",18,18,144,144,"Tanzania","Grevillea robusta, Allanblackia nuts","1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"78",1,"Mixed","agroforestry and fallow","agroforestry and fallow period","natural fallow",NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Remittances","hh off-farm income","1= yes, 0= no","categorical (binary)","none","Logistic model regression","logit","coefficient value",-1.895,-1.895,"standard error","0.57899999999999996",0.579,"nd",NA,"1E-3",0.001,"nd",18,18,144,144,"Tanzania","Grevillea robusta, Allanblackia nuts","1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"89",1,"nd","agroforestry","alley cropping",NA,NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Off-farm income (OFI)","hh off-farm income","1= yes, 0= no","categorical (binary)","none","Logistic regression model","logit","coefficient value",0.16,0.16,"standard error","0.36899999999999999",0.369,"0.36499999999999999",0.365,"nd",NA,"nd",14,14,160,160,"Sierra Leone","nd","1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"190",1,"nd","crop rotation",NA,NA,"annual crops",NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Other income (=1 if yes)","hh off-farm income","1= yes, 0= no","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.023,0.023,"standard error","1.4E-2",0.014,"nd",NA,"nd",NA,"nd",24,24,28593,28593,"Vietnam",NA,"1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"190",2,"nd","intercropping",NA,NA,NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Other income (=1 if yes)","hh off-farm income","1= yes, 0= no","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",-0.005,-0.005,"standard error","4.0000000000000001E-3",0.004,"nd",NA,"nd",NA,"nd",24,24,29323,29323,"Vietnam",NA,"1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Other income (=1 if yes)","hh off-farm income","1= yes, 0= no","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.013,0.013,"standard error","1.2999999999999999E-2",0.013,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam",NA,"1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"190",4,"nd","crop rotation",NA,NA,"annual crops",NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Other income (=1 if yes)","hh off-farm income","1= yes, 0= no","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.018,0.018,"standard error","1.7999999999999999E-2",0.018,"nd",NA,"nd",NA,"nd",23,23,28593,28593,"Vietnam",NA,"1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"190",5,"nd","intercropping",NA,NA,NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Other income (=1 if yes)","hh off-farm income","1= yes, 0= no","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",-0.001,-0.001,"standard error","8.9999999999999993E-3",0.009,"nd",NA,"nd",NA,"nd",23,23,29323,29323,"Vietnam",NA,"1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"190",6,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Other income (=1 if yes)","hh off-farm income","1= yes, 0= no","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.023,0.023,"standard error","1.2E-2",0.012,"nd",NA,"0.05",0.05,"nd",23,23,27233,27233,"Vietnam",NA,"1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"193",1,"nd","crop rotation",NA,NA,NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Household received remittances last year (0/1)","hh off-farm income","1= yes, 0= no","categorical (binary)","none","extended binary probit model","probit","coefficient value",0.915,0.915,"standard error","0.57299999999999995",0.573,"nd",NA,"nd",NA,"nd",27,27,234,234,"Moldova","na","1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"193",2,"nd","crop rotation",NA,NA,NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Household received remittances last year (0/1)","hh off-farm income","1= yes, 0= no","categorical (binary)","none","binary probit model","probit","coefficient value",-0.345,-0.345,"robust standard error","0.41",0.41,"nd",NA,"nd",NA,"nd",15,15,234,234,"Moldova","na","1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
"193",3,"nd","crop rotation",NA,NA,NA,NA,"hh off-farm income","socio-economic","economic and financial capital","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Household received remittances last year (0/1)","hh off-farm income","1= yes, 0= no","categorical (binary)","none","binary probit model","probit","coefficient value",-0.003,-0.003,"robust standard error","0.54500000000000004",0.545,"nd",NA,"nd",NA,"nd",25,25,234,234,"Moldova","na","1= yes, 0= no","hh off-farm income (1= yes, 0= no)"
